StationName,latitude,longitude
Airoli,19.1592465,72.998512
Ambarnath,19.0943323,73.3008946
Ambivli,19.267645,73.1718625
Andheri,19.1196976,72.8464205
Asangaon,19.4409122,73.3065183
Atgaon,19.503751,73.327362
Badlapur,19.1561967,73.2660724
Baman Dongari,,
Bandra,19.0550693,72.84014352466652
Bhandup,19.1438684,72.9384327
Bhayandar,19.3099054,72.8532539
Bhivpuri Road,18.9705432,73.331417
Bhiwandi,19.3025562,73.0588072
Boisar,19.7984865,72.761452
Borivali,19.229068,72.8573628
Byculla,18.9766219,72.8327936
CBD Belapur,19.01898695,73.03909472408442
Charni Road,18.9524563,72.8174395
Chembur,19.0626319,72.9011399
Chhatrapati Shivaji Maharaj Terminus,18.9398641,72.8354116
Chinchpokli,18.9871984,72.8326716
Chunabhatti,19.0517703,72.8690974
Churchgate,18.935357699999997,72.82719940027535
Cotton Green,18.9871866,72.8438965
Currey Road,18.9949978,72.8328707
Dadar,-8.5408434,120.0364024
Dahanu Road,19.9915236,72.7434083
Dahisar,19.2494501,72.8596206
Dativali,19.187695,73.0583421
Diva,45.8817402,22.9008611
Dockyard Road,18.9674767,72.8445477
Dolavli,18.8331631,73.3203444
Dombivli,19.2180493,73.0861355
Prabhadevi,19.0148811,72.8279556
Gavan,59.9487335,30.2379349
Ghansoli,19.1164377,73.0054218
Ghatkopar,19.0859539,72.9082381
Goregaon,19.1651072,72.84959727713161
Govandi,19.0553688,72.9150702
Grant Road,18.9633264,72.81578856955382
Guru Tegh Bahadur Nagar,28.6981558,77.2064225
Jogeshwari,19.1348994,72.8488199
Juchandra,19.3547576,72.87482
Juinagar,19.0551161,73.0161605
Kalamboli,19.0358309,73.1034796
Kalwa,53.56875905,20.082468711656475
Kalyan,19.243472099999998,73.13979695285245
Kaman Road,19.3366555,72.9190837
Kandivali,19.204159,72.8516821
Kanjurmarg,19.1296868,72.9283701
Karjat,18.9127655,73.3228202
Kasara,19.6482325,73.4735887
Kelavli,18.8331631,73.3203444
Kelve Road,19.6240526,72.7911751
Khadavli,19.356724,73.2190375
Khandeshwar,19.0073498,73.0952827
Khar Road,19.0696584,72.8398944
Kharbao,19.2939701,72.9953635
Khardi,36.3158994,-91.4826388
Kharghar,19.0284711,73.0601464
Kharkopar,18.959918000000002,73.01414076432916
Khopoli,18.787747,73.3438185
King's Circle,19.0316822,72.8577375
Kopar,19.2112829,73.0777719384552
Kopar Khairane,19.1031203,73.012349
Kurla,41.7238743,86.173541
Lower Parel,18.9963318,72.8308603
Lowjee,18.809181,73.3353859
Mahalaxmi,27.6466703,85.3685094
Mahim,19.6464428,72.7196769
Malad,19.1867193,72.8485884
Mankhurd,19.0485178,72.9323356
Mansarovar,19.0164338,73.0806552
Marine Lines,18.945964699999998,72.82359075110442
Masjid,18.9527781,72.8381032
Matunga,19.0274356,72.8501467
Matunga Road,19.0274356,72.8501467
Mira Road,19.2815564,72.8578612
Mumbai Central,18.9695855,72.8193152
Mulund,19.1722904,72.9564695
Mumbra,19.189948649999998,73.02327648894558
Nahur,19.1570448,72.9471855
Naigaon,20.787829,79.589794
Nallasopara,19.4178997,72.8185693
Neral,19.0274308,73.3184369
Nerul,19.0341403,73.0196832
Navade Road,19.07223625,73.09782204999999
Nhava Sheva,18.9461995,72.95031154854297
Nilaje,19.1545761,73.0802554
Palghar,19.6978751,72.7686942
Palasdari,,
Panvel,18.9891659,73.1212219
Parel,19.0094817,72.8376614
Rabale,19.1377149,73.0031987
Ram Mandir,19.151023,72.8501467
Ranjanpada,,
Roha,18.44658,73.1238722
Sagar Sangam,,
Sandhurst Road,18.96165325,72.83941803512332
Sanpada,19.0679524,73.0093933
Santacruz,1.2216539,-77.6772324
Seawoods–Darave,19.0221923,73.01873756602905
Saphale,19.5771316,72.8218812
Sion,19.0465213,72.8632834
Shahad,19.2458783,73.1573918
Shelu,20.3708363,77.2480043
Thansit,19.5502698,73.352282
Targhar,18.9920191,73.0384519
Thane,19.18446325,72.97067817490179
Thakurli,19.2255622,73.0968165
Titwala,19.2963414,73.2032791
Turbhe,19.0761648,73.01766154369602
Ulhasnagar,19.209383,73.1855678
Umbermali,19.6337517,73.4256215
Umroli,17.9745436,73.1102189
Uran City,18.8784186,72.9525001
Wadala Road,31.3312228,75.5907178
Vaitarna,19.5186517,72.8499772
Vangaon,19.8829908,72.7631658
Vangani,19.0943323,73.3008946
Vasai Road,19.3826676,72.8320245
Vashi,19.06413505,72.99785180661587
Vasind,19.4065089,73.2674683
Vidyavihar,19.078693,72.8976212
Vikhroli,19.112295500000002,72.9282959621304
Vile Parle,19.0999098,72.8440038
Virar,19.455298,72.811816
Vithalwadi,19.228396,73.1495166
Tilak Nagar,27.6379803,95.667004
Sewri,18.9987796,72.8544218
Taloja,19.0614859,73.1161392
Pen,18.736151,73.0949798
Rasayani,18.8978821,73.1803608
Nagothane,18.5402418,73.1406194
